lambda  Flambda
3505.0  87.272
3510.0  86.902
3515.0  86.972
3520.0  86.871
3525.0  87.488
3530.0  88.427
3535.0  88.756
3540.0  88.651
3545.0  88.520
3550.0  88.260
3555.0  87.733
3560.0  86.141
3565.0  84.461
3570.0  84.149
3575.0  83.911
3580.0  83.310
3585.0  84.191
3590.0  85.697
3595.0  85.681
3600.0  84.633
3605.0  83.912
3610.0  83.717
3615.0  84.179
3620.0  85.190
3625.0  85.430
3630.0  85.652
3635.0  85.847
3640.0  85.586
3645.0  86.257
3650.0  87.393
3655.0  87.575
3660.0  87.387
3665.0  87.183
3670.0  86.320
3675.0  85.302
3680.0  85.118
3685.0  85.933
3690.0  87.046
3695.0  87.450
3700.0  87.017
3705.0  88.366
3710.0  91.884
3715.0  93.648
3720.0  96.828
3725.0  97.230
3730.0  97.001
3735.0  105.024
3740.0  103.395
3745.0  99.141
3750.0  111.799
3755.0  122.060
3760.0  112.812
3765.0  101.405
3770.0  118.256
3775.0  141.376
3780.0  147.094
3785.0  129.690
3790.0  108.439
3795.0  109.159
3800.0  137.967
3805.0  162.041
3810.0  172.616
3815.0  166.724
3820.0  144.374
3825.0  116.389
3830.0  100.281
3835.0  118.940
3840.0  151.753
3845.0  179.026
3850.0  194.291
3855.0  201.653
3860.0  202.762
3865.0  193.589
3870.0  172.723
3875.0  145.336
3880.0  112.687
3885.0  103.615
3890.0  126.835
3895.0  159.624
3900.0  182.766
3905.0  201.522
3910.0  211.702
3915.0  215.134
3920.0  207.450
3925.0  187.243
3930.0  181.777
3935.0  196.391
3940.0  201.284
3945.0  191.652
3950.0  172.985
3955.0  146.391
3960.0  111.092
3965.0  96.802
3970.0  118.483
3975.0  153.333
3980.0  181.350
3985.0  200.407
3990.0  211.722
3995.0  217.793
4000.0  221.579
4005.0  224.925
4010.0  227.650
4015.0  228.655
4020.0  227.243
4025.0  225.621
4030.0  226.305
4035.0  226.561
4040.0  224.736
4045.0  223.328
4050.0  221.320
4055.0  217.524
4060.0  212.404
4065.0  206.097
4070.0  197.727
4075.0  187.965
4080.0  174.194
4085.0  151.540
4090.0  120.958
4095.0  98.992
4100.0  106.162
4105.0  134.114
4110.0  160.822
4115.0  178.299
4120.0  188.234
4125.0  195.013
4130.0  202.246
4135.0  207.622
4140.0  209.328
4145.0  209.366
4150.0  208.743
4155.0  208.738
4160.0  207.759
4165.0  204.379
4170.0  202.144
4175.0  203.188
4180.0  205.460
4185.0  207.153
4190.0  206.822
4195.0  205.519
4200.0  206.258
4205.0  207.338
4210.0  206.346
4215.0  203.959
4220.0  201.333
4225.0  200.217
4230.0  200.265
4235.0  196.862
4240.0  195.431
4245.0  194.593
4250.0  194.960
4255.0  195.292
4260.0  194.986
4265.0  193.308
4270.0  195.186
4275.0  191.370
4280.0  188.721
4285.0  185.402
4290.0  184.681
4295.0  180.491
4300.0  177.410
4305.0  174.085
4310.0  168.698
4315.0  160.287
4320.0  143.898
4325.0  123.307
4330.0  99.210
4335.0  88.493
4340.0  98.797
4345.0  122.316
4350.0  144.380
4355.0  160.486
4360.0  169.946
4365.0  174.716
4370.0  177.238
4375.0  177.678
4380.0  177.147
4385.0  178.109
4390.0  179.145
4395.0  179.439
4400.0  179.869
4405.0  179.829
4410.0  179.070
4415.0  179.634
4420.0  180.861
4425.0  181.097
4430.0  180.510
4435.0  179.135
4440.0  177.925
4445.0  177.763
4450.0  177.393
4455.0  176.539
4460.0  175.628
4465.0  175.134
4470.0  173.968
4475.0  171.876
4480.0  172.148
4485.0  173.789
4490.0  174.922
4495.0  175.243
4500.0  175.020
4505.0  174.168
4510.0  172.050
4515.0  169.602
4520.0  168.396
4525.0  167.907
4530.0  169.004
4535.0  169.494
4540.0  166.752
4545.0  162.646
4550.0  162.194
4555.0  164.486
4560.0  166.059
4565.0  165.919
4570.0  164.874
4575.0  162.386
4580.0  160.731
4585.0  161.776
4590.0  163.114
4595.0  162.905
4600.0  163.327
4605.0  162.887
4610.0  160.404
4615.0  159.601
4620.0  159.194
4625.0  157.875
4630.0  157.894
4635.0  159.019
4640.0  158.512
4645.0  157.878
4650.0  157.369
4655.0  156.732
4660.0  154.175
4665.0  153.885
4670.0  155.064
4675.0  155.368
4680.0  155.484
4685.0  154.858
4690.0  153.478
4695.0  151.042
4700.0  150.918
4705.0  150.865
4710.0  151.033
4715.0  151.468
4720.0  150.328
4725.0  148.485
4730.0  147.877
4735.0  148.659
4740.0  148.126
4745.0  147.520
4750.0  146.698
4755.0  145.134
4760.0  144.572
4765.0  144.740
4770.0  144.741
4775.0  144.105
4780.0  143.534
4785.0  143.547
4790.0  142.875
4795.0  141.109
4800.0  140.080
4805.0  139.258
4810.0  138.184
4815.0  135.980
4820.0  132.644
4825.0  130.390
4830.0  126.571
4835.0  120.696
4840.0  111.510
4845.0  98.180
4850.0  78.601
4855.0  64.258
4860.0  73.126
4865.0  91.840
4870.0  105.160
4875.0  114.260
4880.0  119.235
4885.0  122.946
4890.0  126.566
4895.0  128.516
4900.0  129.444
4905.0  130.331
4910.0  129.298
4915.0  126.872
4920.0  128.248
4925.0  130.108
4930.0  129.575
4935.0  130.550
4940.0  131.548
4945.0  130.635
4950.0  129.140
4955.0  129.275
4960.0  129.930
4965.0  129.753
4970.0  129.429
4975.0  127.018
4980.0  126.184
4985.0  127.712
4990.0  127.348
4995.0  125.588
5000.0  124.522
5005.0  124.249
5010.0  122.244
5015.0  121.972
5020.0  124.131
5025.0  124.443
5030.0  123.450
5035.0  122.795
5040.0  123.178
5045.0  122.821
5050.0  122.559
5055.0  123.184
5060.0  122.549
5065.0  121.664
5070.0  120.992
5075.0  120.414
5080.0  120.834
5085.0  121.199
5090.0  120.358
5095.0  119.723
5100.0  120.303
5105.0  120.494
5110.0  120.313
5115.0  119.554
5120.0  118.128
5125.0  117.568
5130.0  116.834
5135.0  116.330
5140.0  116.452
5145.0  116.462
5150.0  116.496
5155.0  115.168
5160.0  111.373
5165.0  109.901
5170.0  112.915
5175.0  113.569
5180.0  111.868
5185.0  111.684
5190.0  112.008
5195.0  112.155
5200.0  111.908
5205.0  112.352
5210.0  112.761
5215.0  112.308
5220.0  110.262
5225.0  108.804
5230.0  109.238
5235.0  110.996
5240.0  111.728
5245.0  111.117
5250.0  110.368
5255.0  108.644
5260.0  106.327
5265.0  105.507
5270.0  106.147
5275.0  106.983
5280.0  108.306
5285.0  109.236
5290.0  108.758
5295.0  108.004
5300.0  107.622
