lambda  Flambda
3505.0  253.810
3510.0  257.281
3515.0  258.936
3520.0  256.065
3525.0  251.824
3530.0  251.672
3535.0  252.677
3540.0  251.978
3545.0  250.948
3550.0  250.066
3555.0  251.635
3560.0  254.215
3565.0  253.060
3570.0  249.389
3575.0  245.779
3580.0  242.949
3585.0  240.885
3590.0  241.175
3595.0  242.702
3600.0  242.136
3605.0  240.165
3610.0  239.377
3615.0  240.019
3620.0  241.244
3625.0  239.019
3630.0  237.132
3635.0  240.933
3640.0  243.769
3645.0  242.306
3650.0  241.217
3655.0  240.228
3660.0  237.384
3665.0  235.543
3670.0  237.530
3675.0  239.511
3680.0  238.211
3685.0  237.493
3690.0  237.920
3695.0  237.136
3700.0  235.184
3705.0  234.433
3710.0  236.883
3715.0  240.202
3720.0  243.877
3725.0  245.236
3730.0  249.223
3735.0  259.549
3740.0  256.347
3745.0  249.543
3750.0  265.638
3755.0  281.113
3760.0  267.696
3765.0  251.875
3770.0  272.714
3775.0  309.598
3780.0  320.036
3785.0  295.779
3790.0  262.742
3795.0  264.527
3800.0  303.853
3805.0  335.511
3810.0  337.270
3815.0  326.953
3820.0  310.522
3825.0  277.095
3830.0  256.546
3835.0  279.579
3840.0  319.246
3845.0  342.521
3850.0  351.195
3855.0  353.059
3860.0  347.147
3865.0  336.637
3870.0  321.402
3875.0  290.955
3880.0  252.757
3885.0  245.307
3890.0  279.962
3895.0  320.195
3900.0  340.929
3905.0  345.609
3910.0  342.757
3915.0  336.269
3920.0  330.762
3925.0  329.072
3930.0  332.502
3935.0  337.844
3940.0  336.706
3945.0  327.800
3950.0  311.086
3955.0  280.060
3960.0  239.998
3965.0  224.072
3970.0  249.918
3975.0  286.587
3980.0  307.833
3985.0  315.692
3990.0  317.100
3995.0  313.306
4000.0  304.466
4005.0  297.674
4010.0  294.479
4015.0  286.614
4020.0  280.253
4025.0  287.678
4030.0  298.194
4035.0  302.010
4040.0  302.420
4045.0  301.465
4050.0  300.077
4055.0  297.891
4060.0  294.062
4065.0  290.580
4070.0  288.854
4075.0  285.608
4080.0  277.072
4085.0  258.616
4090.0  226.771
4095.0  201.514
4100.0  209.575
4105.0  238.715
4110.0  260.901
4115.0  270.555
4120.0  275.109
4125.0  276.919
4130.0  273.291
4135.0  265.630
4140.0  262.625
4145.0  267.241
4150.0  272.119
4155.0  273.585
4160.0  272.944
4165.0  271.237
4170.0  270.076
4175.0  268.930
4180.0  266.172
4185.0  263.909
4190.0  262.750
4195.0  261.152
4200.0  259.479
4205.0  258.380
4210.0  256.795
4215.0  254.215
4220.0  252.415
4225.0  251.452
4230.0  250.869
4235.0  251.033
4240.0  250.810
4245.0  248.930
4250.0  245.828
4255.0  243.059
4260.0  241.258
4265.0  240.548
4270.0  240.605
4275.0  240.704
4280.0  240.071
4285.0  239.813
4290.0  240.512
4295.0  239.967
4300.0  237.716
4305.0  235.188
4310.0  233.065
4315.0  229.856
4320.0  221.692
4325.0  204.047
4330.0  178.742
4335.0  163.088
4340.0  172.845
4345.0  195.587
4350.0  213.594
4355.0  223.086
4360.0  225.958
4365.0  225.936
4370.0  224.895
4375.0  220.983
4380.0  214.687
4385.0  213.650
4390.0  217.998
4395.0  220.065
4400.0  218.835
4405.0  216.767
4410.0  214.519
4415.0  210.894
4420.0  207.236
4425.0  205.043
4430.0  204.395
4435.0  205.869
4440.0  208.237
4445.0  209.901
4450.0  209.718
4455.0  206.201
4460.0  198.604
4465.0  191.803
4470.0  193.321
4475.0  198.189
4480.0  201.326
4485.0  203.094
4490.0  203.056
4495.0  201.318
4500.0  200.894
4505.0  200.555
4510.0  200.722
4515.0  199.928
4520.0  198.782
4525.0  197.524
4530.0  197.321
4535.0  196.292
4540.0  194.675
4545.0  192.055
4550.0  192.435
4555.0  192.088
4560.0  192.071
4565.0  190.395
4570.0  189.414
4575.0  188.051
4580.0  187.201
4585.0  185.992
4590.0  184.940
4595.0  182.835
4600.0  181.306
4605.0  181.290
4610.0  179.846
4615.0  178.646
4620.0  177.026
4625.0  176.911
4630.0  175.751
4635.0  175.463
4640.0  173.866
4645.0  174.101
4650.0  172.905
4655.0  171.315
4660.0  170.658
4665.0  169.319
4670.0  168.712
4675.0  168.213
4680.0  167.365
4685.0  167.534
4690.0  166.285
4695.0  165.819
4700.0  164.610
4705.0  160.524
4710.0  158.831
4715.0  159.786
4720.0  158.577
4725.0  158.335
4730.0  159.737
4735.0  158.890
4740.0  157.699
4745.0  157.733
4750.0  156.219
4755.0  153.366
4760.0  154.364
4765.0  153.911
4770.0  153.766
4775.0  153.163
4780.0  153.351
4785.0  152.906
4790.0  152.202
4795.0  151.661
4800.0  151.198
4805.0  150.599
4810.0  149.484
4815.0  149.124
4820.0  148.286
4825.0  147.721
4830.0  146.487
4835.0  144.637
4840.0  141.003
4845.0  132.598
4850.0  114.397
4855.0  97.591
4860.0  107.181
4865.0  125.984
4870.0  134.097
4875.0  137.809
4880.0  139.005
4885.0  139.837
4890.0  140.342
4895.0  140.122
4900.0  139.645
4905.0  140.011
4910.0  136.465
4915.0  130.108
4920.0  132.996
4925.0  138.582
4930.0  138.615
4935.0  138.761
4940.0  138.348
4945.0  137.733
4950.0  136.945
4955.0  136.520
4960.0  135.875
4965.0  135.906
4970.0  135.536
4975.0  134.941
4980.0  134.107
4985.0  134.268
4990.0  133.685
4995.0  132.685
5000.0  132.345
5005.0  129.717
5010.0  127.927
5015.0  129.719
5020.0  130.939
5025.0  130.225
5030.0  129.252
5035.0  128.483
5040.0  127.327
5045.0  127.003
5050.0  127.699
5055.0  127.986
5060.0  127.630
5065.0  127.879
5070.0  127.183
5075.0  127.158
5080.0  126.915
5085.0  125.707
5090.0  125.762
5095.0  125.139
5100.0  124.677
5105.0  124.116
5110.0  123.702
5115.0  123.296
5120.0  122.730
5125.0  122.547
5130.0  122.167
5135.0  121.892
5140.0  121.225
5145.0  120.768
5150.0  120.461
5155.0  120.350
5160.0  120.130
5165.0  119.485
5170.0  119.670
5175.0  119.233
5180.0  118.783
5185.0  118.609
5190.0  118.060
5195.0  117.881
5200.0  117.328
5205.0  117.264
5210.0  116.584
5215.0  116.647
5220.0  116.533
5225.0  115.989
5230.0  115.384
5235.0  114.916
5240.0  114.720
5245.0  114.389
5250.0  114.029
5255.0  113.798
5260.0  113.205
5265.0  113.513
5270.0  112.976
5275.0  112.357
5280.0  112.282
5285.0  111.764
5290.0  111.277
5295.0  111.137
5300.0  110.687
5305.0  110.648
5310.0  110.112
5315.0  109.488
5320.0  109.240
5325.0  109.099
5330.0  108.863
5335.0  108.512
5340.0  108.188
5345.0  108.079
5350.0  107.576
5355.0  106.652
5360.0  106.271
5365.0  106.129
5370.0  105.889
5375.0  105.799
5380.0  105.471
5385.0  105.069
5390.0  104.641
5395.0  104.144
5400.0  103.708
5405.0  103.490
5410.0  102.891
5415.0  102.471
5420.0  101.896
5425.0  101.664
5430.0  101.295
5435.0  100.730
5440.0  100.000
5445.0  99.342
5450.0  99.544
5455.0  99.957
5460.0  99.997
5465.0  99.736
5470.0  99.517
5475.0  99.279
5480.0  98.512
5485.0  98.181
5490.0  98.338
5495.0  98.041
5500.0  97.358
5505.0  97.170
5510.0  97.116
5515.0  97.126
5520.0  96.632
5525.0  95.963
5530.0  95.587
5535.0  95.322
5540.0  95.166
5545.0  95.282
5550.0  95.361
5555.0  95.010
5560.0  94.730
5565.0  94.669
5570.0  94.731
5575.0  94.133
5580.0  93.296
5585.0  93.111
5590.0  92.892
5595.0  92.774
5600.0  92.324
5605.0  92.095
5610.0  91.982
5615.0  91.811
5620.0  91.794
5625.0  91.393
5630.0  90.643
5635.0  89.932
5640.0  89.839
5645.0  89.897
5650.0  89.626
5655.0  89.005
5660.0  88.605
5665.0  88.607
5670.0  88.426
5675.0  88.234
5680.0  87.864
5685.0  87.548
5690.0  87.019
5695.0  86.457
5700.0  85.882
5705.0  85.881
5710.0  86.170
5715.0  85.551
5720.0  85.398
5725.0  85.335
5730.0  84.849
5735.0  84.443
5740.0  84.172
5745.0  83.958
5750.0  83.872
5755.0  83.429
