lambda  Flambda
3505.0  63.688
3510.0  63.019
3515.0  62.145
3520.0  61.359
3525.0  62.305
3530.0  63.459
3535.0  72.632
3540.0  72.577
3545.0  70.841
3550.0  67.979
3555.0  61.821
3560.0  57.409
3565.0  54.427
3570.0  53.071
3575.0  49.881
3580.0  49.317
3585.0  55.771
3590.0  63.352
3595.0  67.645
3600.0  60.806
3605.0  57.659
3610.0  57.647
3615.0  60.092
3620.0  63.729
3625.0  63.501
3630.0  62.478
3635.0  63.564
3640.0  63.302
3645.0  65.545
3650.0  71.659
3655.0  75.654
3660.0  75.700
3665.0  74.401
3670.0  72.061
3675.0  68.746
3680.0  67.722
3685.0  70.526
3690.0  74.473
3695.0  74.470
3700.0  70.790
3705.0  71.017
3710.0  72.293
3715.0  68.149
3720.0  65.355
3725.0  62.436
3730.0  58.082
3735.0  58.553
3740.0  58.984
3745.0  60.849
3750.0  66.076
3755.0  67.933
3760.0  69.422
3765.0  74.398
3770.0  81.768
3775.0  86.436
3780.0  83.934
3785.0  76.781
3790.0  71.988
3795.0  77.550
3800.0  81.087
3805.0  80.490
3810.0  72.248
3815.0  62.827
3820.0  55.102
3825.0  49.961
3830.0  49.824
3835.0  57.368
3840.0  71.438
3845.0  76.254
3850.0  70.987
3855.0  69.733
3860.0  75.014
3865.0  75.077
3870.0  72.972
3875.0  67.620
3880.0  65.648
3885.0  67.865
3890.0  73.054
3895.0  76.099
3900.0  78.351
3905.0  81.708
3910.0  80.875
3915.0  72.743
3920.0  58.615
3925.0  43.118
3930.0  41.496
3935.0  54.003
3940.0  67.012
3945.0  76.667
3950.0  76.362
3955.0  64.930
3960.0  49.680
3965.0  50.415
3970.0  66.986
3975.0  81.927
3980.0  92.031
3985.0  96.852
3990.0  98.808
3995.0  99.388
4000.0  100.082
4005.0  102.468
4010.0  105.013
4015.0  106.159
4020.0  105.756
4025.0  103.828
4030.0  103.575
4035.0  103.310
4040.0  101.444
4045.0  101.860
4050.0  101.118
4055.0  98.626
4060.0  97.793
4065.0  98.883
4070.0  100.153
4075.0  103.015
4080.0  106.952
4085.0  107.185
4090.0  100.998
4095.0  94.607
4100.0  96.681
4105.0  103.695
4110.0  108.039
4115.0  108.551
4120.0  107.129
4125.0  105.592
4130.0  106.221
4135.0  107.247
4140.0  106.678
4145.0  106.136
4150.0  106.261
4155.0  108.219
4160.0  108.692
4165.0  105.428
4170.0  102.590
4175.0  102.338
4180.0  102.674
4185.0  103.128
4190.0  102.208
4195.0  101.142
4200.0  103.723
4205.0  106.855
4210.0  106.274
4215.0  101.870
4220.0  96.734
4225.0  96.797
4230.0  99.415
4235.0  100.949
4240.0  100.787
4245.0  99.014
4250.0  98.256
4255.0  98.533
4260.0  98.070
4265.0  94.972
4270.0  94.029
4275.0  95.281
4280.0  93.237
4285.0  89.034
4290.0  83.423
4295.0  76.042
4300.0  72.437
4305.0  78.215
4310.0  91.533
4315.0  98.987
4320.0  98.744
4325.0  100.227
4330.0  98.540
4335.0  94.309
4340.0  96.937
4345.0  101.751
4350.0  104.933
4355.0  108.554
4360.0  110.134
4365.0  107.999
4370.0  104.054
4375.0  99.282
4380.0  96.717
4385.0  103.086
4390.0  107.113
4395.0  104.016
4400.0  103.873
4405.0  106.834
4410.0  113.470
4415.0  115.998
4420.0  116.429
4425.0  115.433
4430.0  111.419
4435.0  111.914
4440.0  112.377
4445.0  110.909
4450.0  107.656
4455.0  110.467
4460.0  113.879
4465.0  117.727
4470.0  116.080
4475.0  115.671
4480.0  115.330
4485.0  115.503
4490.0  116.290
4495.0  117.530
4500.0  120.222
4505.0  119.701
4510.0  116.956
4515.0  114.892
4520.0  110.577
4525.0  106.931
4530.0  109.436
4535.0  113.290
4540.0  112.604
4545.0  110.706
4550.0  112.810
4555.0  116.106
4560.0  116.768
4565.0  117.117
4570.0  116.924
4575.0  114.262
4580.0  112.504
4585.0  113.532
4590.0  113.237
4595.0  111.537
4600.0  113.212
4605.0  115.300
4610.0  114.635
4615.0  115.059
4620.0  114.953
4625.0  114.878
4630.0  113.207
4635.0  112.569
4640.0  110.626
4645.0  110.010
4650.0  111.564
4655.0  113.004
4660.0  109.277
4665.0  107.151
4670.0  110.889
4675.0  110.542
4680.0  110.550
4685.0  111.536
4690.0  110.924
4695.0  108.311
4700.0  105.981
4705.0  107.653
4710.0  110.684
4715.0  113.586
4720.0  112.658
4725.0  108.992
4730.0  109.024
4735.0  110.918
4740.0  112.651
4745.0  112.601
4750.0  110.497
4755.0  109.290
4760.0  107.900
4765.0  109.968
4770.0  113.001
4775.0  112.859
4780.0  110.539
4785.0  110.325
4790.0  112.716
4795.0  112.455
4800.0  111.322
4805.0  111.681
4810.0  113.391
4815.0  113.445
4820.0  111.407
4825.0  110.964
4830.0  110.348
4835.0  109.002
4840.0  108.905
4845.0  108.077
4850.0  99.897
4855.0  85.654
4860.0  90.851
4865.0  98.536
4870.0  102.531
4875.0  105.674
4880.0  104.161
4885.0  102.720
4890.0  107.335
4895.0  110.260
4900.0  108.555
4905.0  107.508
4910.0  104.769
4915.0  100.960
4920.0  103.433
4925.0  107.057
4930.0  105.438
4935.0  105.868
4940.0  109.096
4945.0  109.644
4950.0  106.595
4955.0  106.219
4960.0  107.711
4965.0  108.257
4970.0  108.042
4975.0  104.102
4980.0  101.921
4985.0  105.097
4990.0  106.139
4995.0  103.788
5000.0  101.432
5005.0  100.426
5010.0  99.382
5015.0  100.205
5020.0  102.437
5025.0  104.522
5030.0  103.039
5035.0  100.467
5040.0  101.574
5045.0  103.903
5050.0  106.108
5055.0  107.478
5060.0  105.444
5065.0  103.645
5070.0  101.987
5075.0  100.608
5080.0  102.250
5085.0  105.135
5090.0  104.191
5095.0  102.346
5100.0  101.894
5105.0  102.749
5110.0  104.745
5115.0  104.206
5120.0  100.931
5125.0  100.078
5130.0  99.958
5135.0  98.539
5140.0  98.291
5145.0  99.353
5150.0  100.890
5155.0  99.950
5160.0  91.807
5165.0  85.201
5170.0  92.163
5175.0  91.802
5180.0  90.103
5185.0  93.001
5190.0  97.295
5195.0  98.655
5200.0  97.880
5205.0  97.706
5210.0  100.164
5215.0  100.788
5220.0  98.251
5225.0  97.109
