lambda  Flambda
3505.0  42.098
3510.0  41.507
3515.0  40.188
3520.0  39.086
3525.0  41.174
3530.0  43.940
3535.0  45.299
3540.0  45.461
3545.0  44.418
3550.0  42.380
3555.0  39.777
3560.0  36.628
3565.0  34.891
3570.0  34.123
3575.0  31.822
3580.0  31.760
3585.0  37.374
3590.0  44.107
3595.0  45.640
3600.0  42.450
3605.0  40.004
3610.0  39.902
3615.0  42.000
3620.0  45.451
3625.0  45.724
3630.0  45.444
3635.0  46.509
3640.0  46.081
3645.0  47.646
3650.0  51.895
3655.0  54.114
3660.0  53.739
3665.0  53.397
3670.0  52.778
3675.0  51.037
3680.0  50.457
3685.0  52.350
3690.0  54.791
3695.0  54.518
3700.0  51.511
3705.0  51.684
3710.0  52.753
3715.0  49.721
3720.0  47.884
3725.0  45.426
3730.0  42.002
3735.0  42.299
3740.0  42.307
3745.0  44.063
3750.0  48.063
3755.0  48.796
3760.0  49.384
3765.0  52.628
3770.0  57.071
3775.0  59.118
3780.0  56.046
3785.0  50.412
3790.0  47.212
3795.0  48.683
3800.0  51.632
3805.0  50.494
3810.0  45.229
3815.0  39.564
3820.0  35.573
3825.0  33.396
3830.0  33.431
3835.0  37.001
3840.0  41.685
3845.0  42.929
3850.0  41.568
3855.0  41.341
3860.0  42.160
3865.0  41.786
3870.0  41.910
3875.0  42.558
3880.0  44.566
3885.0  49.083
3890.0  53.801
3895.0  55.755
3900.0  56.577
3905.0  58.092
3910.0  56.844
3915.0  50.722
3920.0  40.544
3925.0  29.647
3930.0  27.530
3935.0  36.365
3940.0  47.692
3945.0  55.009
3950.0  55.199
3955.0  46.654
3960.0  35.104
3965.0  34.057
3970.0  46.426
3975.0  60.215
3980.0  67.962
3985.0  71.494
3990.0  73.082
3995.0  74.157
4000.0  75.144
4005.0  77.095
4010.0  79.179
4015.0  79.918
4020.0  79.106
4025.0  77.407
4030.0  77.615
4035.0  77.944
4040.0  76.568
4045.0  76.641
4050.0  76.015
4055.0  74.363
4060.0  74.146
4065.0  74.889
4070.0  75.180
4075.0  77.511
4080.0  78.652
4085.0  79.614
4090.0  75.570
4095.0  71.348
4100.0  72.823
4105.0  77.013
4110.0  82.370
4115.0  81.844
4120.0  80.074
4125.0  78.653
4130.0  79.136
4135.0  79.399
4140.0  78.256
4145.0  77.671
4150.0  78.280
4155.0  80.244
4160.0  80.408
4165.0  77.451
4170.0  75.086
4175.0  75.713
4180.0  77.554
4185.0  78.428
4190.0  77.123
4195.0  76.276
4200.0  78.832
4205.0  81.405
4210.0  78.536
4215.0  77.634
4220.0  74.967
4225.0  75.311
4230.0  77.358
4235.0  78.727
4240.0  78.956
4245.0  77.616
4250.0  76.902
4255.0  77.569
4260.0  77.907
4265.0  75.350
4270.0  74.344
4275.0  75.484
4280.0  74.198
4285.0  71.137
4290.0  66.496
4295.0  60.002
4300.0  56.702
4305.0  61.782
4310.0  73.823
4315.0  80.794
4320.0  80.937
4325.0  82.734
4330.0  81.963
4335.0  78.856
4340.0  80.769
4345.0  83.711
4350.0  85.622
4355.0  88.545
4360.0  89.580
4365.0  87.060
4370.0  83.452
4375.0  79.326
4380.0  76.605
4385.0  78.857
4390.0  82.375
4395.0  83.091
4400.0  83.001
4405.0  82.765
4410.0  85.454
4415.0  86.677
4420.0  86.655
4425.0  86.101
4430.0  89.327
4435.0  90.851
4440.0  92.056
4445.0  90.979
4450.0  87.433
4455.0  86.029
4460.0  88.684
4465.0  92.996
4470.0  96.117
4475.0  96.387
4480.0  95.971
4485.0  95.438
4490.0  96.111
4495.0  98.293
4500.0  102.321
4505.0  101.913
4510.0  98.768
4515.0  96.584
4520.0  91.976
4525.0  88.478
4530.0  91.518
4535.0  94.737
4540.0  93.966
4545.0  92.593
4550.0  94.823
4555.0  97.911
4560.0  97.452
4565.0  98.290
4570.0  98.294
4575.0  95.359
4580.0  94.926
4585.0  96.021
4590.0  94.922
4595.0  93.147
4600.0  96.512
4605.0  100.216
4610.0  99.619
4615.0  100.484
4620.0  100.762
4625.0  100.073
4630.0  97.526
4635.0  95.946
4640.0  93.088
4645.0  89.965
4650.0  96.172
4655.0  97.121
4660.0  91.826
4665.0  90.296
4670.0  92.249
4675.0  94.660
4680.0  94.719
4685.0  92.911
4690.0  92.530
4695.0  92.418
4700.0  91.117
4705.0  92.084
4710.0  95.639
4715.0  100.024
4720.0  97.841
4725.0  94.117
4730.0  96.505
4735.0  98.931
4740.0  100.446
4745.0  99.355
4750.0  97.471
4755.0  95.753
4760.0  93.773
4765.0  97.348
4770.0  101.753
4775.0  101.738
4780.0  98.420
4785.0  98.331
4790.0  101.484
4795.0  100.933
4800.0  99.710
4805.0  99.463
4810.0  101.899
4815.0  102.864
4820.0  100.284
4825.0  99.097
4830.0  98.707
4835.0  97.738
4840.0  98.364
4845.0  98.057
4850.0  92.015
4855.0  82.652
4860.0  85.344
4865.0  89.349
4870.0  92.047
4875.0  95.623
4880.0  93.220
4885.0  92.285
4890.0  99.056
4895.0  101.568
4900.0  99.316
4905.0  97.056
4910.0  95.216
4915.0  90.057
4920.0  93.407
4925.0  98.525
4930.0  95.816
4935.0  95.714
4940.0  100.971
4945.0  102.313
4950.0  98.973
4955.0  98.768
4960.0  99.677
4965.0  99.702
4970.0  99.896
4975.0  94.791
4980.0  93.042
4985.0  96.612
4990.0  97.745
4995.0  94.600
5000.0  92.104
5005.0  91.138
5010.0  89.396
5015.0  91.130
5020.0  93.470
5025.0  96.902
5030.0  95.586
5035.0  91.633
5040.0  94.821
5045.0  96.795
5050.0  99.466
5055.0  101.875
5060.0  98.913
5065.0  97.084
5070.0  95.690
5075.0  93.240
5080.0  95.718
5085.0  99.543
5090.0  98.392
5095.0  95.933
5100.0  95.855
5105.0  96.591
5110.0  99.454
5115.0  98.127
5120.0  93.904
5125.0  93.601
5130.0  94.466
5135.0  92.822
5140.0  91.946
5145.0  92.925
5150.0  95.423
5155.0  95.259
5160.0  85.949
5165.0  79.971
5170.0  86.493
5175.0  89.229
5180.0  87.456
5185.0  90.227
5190.0  92.612
5195.0  94.113
5200.0  92.840
5205.0  92.978
5210.0  95.503
5215.0  95.598
5220.0  92.081
5225.0  91.995
5230.0  95.712
5235.0  99.266
5240.0  98.677
5245.0  95.887
5250.0  96.482
5255.0  94.289
5260.0  86.621
5265.0  85.140
5270.0  91.586
5275.0  95.879
5280.0  99.018
5285.0  101.996
5290.0  99.083
5295.0  96.973
5300.0  100.978
5305.0  103.562
5310.0  102.268
5315.0  99.000
5320.0  93.748
5325.0  93.496
5330.0  97.796
5335.0  98.571
5340.0  98.344
5345.0  100.099
5350.0  103.592
5355.0  103.522
5360.0  99.342
5365.0  96.624
5370.0  99.561
5375.0  101.260
5380.0  100.208
5385.0  98.300
5390.0  95.250
5395.0  94.102
5400.0  92.761
5405.0  94.545
5410.0  98.557
5415.0  99.151
5420.0  97.989
5425.0  96.524
5430.0  97.323
5435.0  100.620
5440.0  100.000
5445.0  99.642
5450.0  99.866
5455.0  99.825
5460.0  99.823
5465.0  99.107
5470.0  96.126
5475.0  96.163
5480.0  98.438
5485.0  99.456
5490.0  99.736
5495.0  99.492
5500.0  98.335
5505.0  97.420
5510.0  98.836
5515.0  100.893
5520.0  99.521
5525.0  98.263
5530.0  99.151
5535.0  100.248
5540.0  101.244
5545.0  101.903
5550.0  101.403
5555.0  99.957
5560.0  98.472
5565.0  97.929
5570.0  99.362
5575.0  99.701
5580.0  96.273
5585.0  94.048
5590.0  95.692
5595.0  96.406
5600.0  99.551
5605.0  101.592
5610.0  98.468
5615.0  97.356
5620.0  98.631
5625.0  100.209
5630.0  99.491
5635.0  97.740
5640.0  98.514
5645.0  98.836
5650.0  96.310
5655.0  94.590
5660.0  96.782
5665.0  99.620
5670.0  100.885
5675.0  99.295
5680.0  97.085
5685.0  98.089
5690.0  99.006
5695.0  97.306
5700.0  94.105
5705.0  93.152
5710.0  96.997
5715.0  100.890
5720.0  101.572
5725.0  100.968
5730.0  101.110
5735.0  101.016
5740.0  100.160
5745.0  98.576
5750.0  97.865
5755.0  98.437
5760.0  99.608
5765.0  100.849
5770.0  99.418
5775.0  95.944
5780.0  94.618
5785.0  97.299
5790.0  98.969
5795.0  99.775
5800.0  99.386
5805.0  99.481
5810.0  100.099
5815.0  101.349
5820.0  102.071
5825.0  101.710
5830.0  101.277
5835.0  101.642
5840.0  101.145
5845.0  99.279
5850.0  96.931
5855.0  97.025
5860.0  99.100
5865.0  100.496
5870.0  100.324
5875.0  99.384
5880.0  95.306
5885.0  88.067
5890.0  87.850
5895.0  94.271
5900.0  98.424
5905.0  98.461
5910.0  97.662
5915.0  98.459
5920.0  98.998
5925.0  98.133
5930.0  98.514
5935.0  98.770
5940.0  98.148
5945.0  97.414
5950.0  97.501
5955.0  98.764
5960.0  99.076
5965.0  99.547
5970.0  98.400
5975.0  97.458
5980.0  96.887
5985.0  97.712
5990.0  97.943
5995.0  97.393
6000.0  96.108
6005.0  95.638
6010.0  95.594
6015.0  94.869
6020.0  95.966
6025.0  98.234
6030.0  99.213
6035.0  98.874
6040.0  99.034
6045.0  98.973
6050.0  98.021
6055.0  97.749
6060.0  97.375
6065.0  98.849
6070.0  98.415
6075.0  96.243
6080.0  95.557
6085.0  95.562
6090.0  96.031
6095.0  94.770
6100.0  94.467
6105.0  96.265
6110.0  96.356
6115.0  94.714
6120.0  94.346
6125.0  94.957
6130.0  92.287
6135.0  91.995
6140.0  94.322
6145.0  94.822
6150.0  93.713
6155.0  90.711
6160.0  89.806
6165.0  91.577
6170.0  93.413
6175.0  95.169
6180.0  94.811
6185.0  93.310
6190.0  94.450
6195.0  95.496
6200.0  96.294
6205.0  95.339
6210.0  92.500
6215.0  92.721
6220.0  93.265
6225.0  92.017
6230.0  92.810
6235.0  91.939
6240.0  90.765
6245.0  90.577
6250.0  89.275
6255.0  90.644
6260.0  92.908
6265.0  93.194
6270.0  91.336
6275.0  89.630
6280.0  91.381
6285.0  92.692
6290.0  91.360
6295.0  90.192
6300.0  91.472
6305.0  91.822
6310.0  89.448
6315.0  89.792
6320.0  92.599
6325.0  92.939
6330.0  91.127
6335.0  90.878
6340.0  92.002
6345.0  93.224
6350.0  91.992
6355.0  89.957
6360.0  90.896
6365.0  93.041
6370.0  93.808
6375.0  93.479
6380.0  93.743
6385.0  92.932
6390.0  91.546
6395.0  91.367
6400.0  91.643
6405.0  91.164
6410.0  91.131
6415.0  91.299
6420.0  92.370
6425.0  92.089
6430.0  91.621
6435.0  92.271
6440.0  92.701
6445.0  90.645
6450.0  90.712
6455.0  90.838
6460.0  90.893
6465.0  91.307
6470.0  91.613
6475.0  91.385
6480.0  91.497
6485.0  89.325
6490.0  85.207
6495.0  87.352
6500.0  91.729
6505.0  92.384
6510.0  91.068
6515.0  90.897
6520.0  91.556
6525.0  91.330
6530.0  91.446
6535.0  91.760
6540.0  90.952
6545.0  90.133
6550.0  86.885
6555.0  79.041
6560.0  78.196
6565.0  86.046
6570.0  88.933
6575.0  90.282
6580.0  90.425
6585.0  89.381
6590.0  88.758
6595.0  90.006
6600.0  90.041
6605.0  89.722
6610.0  90.815
6615.0  91.409
6620.0  90.742
6625.0  89.548
6630.0  88.895
6635.0  89.338
6640.0  89.724
6645.0  90.513
6650.0  90.726
6655.0  89.600
6660.0  88.832
6665.0  89.427
6670.0  89.354
6675.0  89.100
6680.0  90.370
6685.0  90.499
6690.0  89.397
6695.0  88.688
6700.0  88.557
6705.0  88.117
6710.0  86.993
6715.0  87.272
6720.0  88.277
6725.0  88.543
6730.0  88.261
6735.0  87.737
6740.0  87.262
6745.0  87.094
6750.0  87.637
6755.0  88.375
6760.0  87.869
6765.0  87.158
6770.0  87.686
6775.0  87.837
6780.0  87.362
6785.0  87.234
6790.0  87.130
6795.0  86.734
6800.0  86.499
