lambda   Flambda
3505.0   7.327
3510.0   7.121
3515.0   6.856
3520.0   7.060
3525.0   8.284
3530.0   9.343
3535.0   9.641
3540.0   9.170
3545.0   8.309
3550.0   7.513
3555.0   6.752
3560.0   5.959
3565.0   5.522
3570.0   5.040
3575.0   4.341
3580.0   4.567
3585.0   6.135
3590.0   8.072
3595.0   8.513
3600.0   7.468
3605.0   7.241
3610.0   8.025
3615.0   9.214
3620.0   10.177
3625.0   9.924
3630.0   10.300
3635.0   10.874
3640.0   10.353
3645.0   11.116
3650.0   13.240
3655.0   4.218
3660.0   13.867
3665.0   13.404
3670.0   12.727
3675.0   11.661
3680.0   11.289
3685.0   12.213
3690.0   13.278
3695.0   12.681
3700.0   10.992
3705.0   10.805
3710.0   10.165
3715.0   8.298
3720.0   7.482
3725.0   6.655
3730.0   5.924
3735.0   6.012
3740.0   6.172
3745.0   7.173
3750.0   8.138
3755.0   8.319
3760.0   9.543
3765.0   11.837
3770.0   13.160
3775.0   12.854
3780.0   11.155
3785.0   9.427
3790.0   8.929
3795.0   9.646
3800.0   10.195
3805.0   9.217
3810.0   7.232
3815.0   5.696
3820.0   5.307
3825.0   5.604
3830.0   6.087
3835.0   6.863
3840.0   7.528
3845.0   7.419
3850.0   6.888
3855.0   6.728
3860.0   6.961
3865.0   7.157
3870.0   7.484
3875.0   8.104
3880.0   9.430
3885.0   11.316
3890.0   12.280
3895.0   12.346
3900.0   12.849
3905.0   13.510
3910.0   12.553
3915.0   10.117
3920.0   7.425
3925.0   5.267
3930.0   5.326
3935.0   7.587
3940.0   10.653
3945.0   13.021
3950.0   12.612
3955.0   9.466
3960.0   6.938
3965.0   8.220
3970.0   12.794
3975.0   17.407
3980.0   20.441
3985.0   22.216
3990.0   23.633
3995.0   24.904
4000.0   25.822
4005.0   27.343
4010.0   28.717
4015.0   28.718
4020.0   27.318
4025.0   25.529
4030.0   25.679
4035.0   25.641
4040.0   25.253
4045.0   26.344
4050.0   25.854
4055.0   24.436
4060.0   24.548
4065.0   25.449
4070.0   26.796
4075.0   29.832
4080.0   32.619
4085.0   32.411
4090.0   29.632
4095.0   28.145
4100.0   28.658
4105.0   28.653
4110.0   28.123
4115.0   27.858
4120.0   27.280
4125.0   26.109
4130.0   25.531
4135.0   24.528
4140.0   23.724
4145.0   24.280
4150.0   25.961
4155.0   27.405
4160.0   26.871
4165.0   25.471
4170.0   25.308
4175.0   26.875
4180.0   28.360
4185.0   28.151
4190.0   26.751
4195.0   26.706
4200.0   28.800
4205.0   30.676
4210.0   31.639
4215.0   29.790
4220.0   26.661
4225.0   28.325
4230.0   32.543
4235.0   36.132
4240.0   36.443
4245.0   33.797
4250.0   33.336
4255.0   35.445
4260.0   35.430
4265.0   32.495
4270.0   32.652
4275.0   34.525
4280.0   33.740
4285.0   31.956
4290.0   30.165
4295.0   27.679
4300.0   27.517
4305.0   33.522
4310.0   41.662
4315.0   43.655
4320.0   43.576
4325.0   46.701
4330.0   47.773
4335.0   47.519
4340.0   48.998
4345.0   49.485
4350.0   50.262
4355.0   52.245
4360.0   52.389
4365.0   49.731
4370.0   45.955
4375.0   41.641
4380.0   40.408
4385.0   43.935
4390.0   47.015
4395.0   45.799
4400.0   44.148
4405.0   46.413
4410.0   49.328
4415.0   50.825
4420.0   50.964
4425.0   50.794
4430.0   52.136
4435.0   54.745
4440.0   56.538
4445.0   55.267
4450.0   51.871
4455.0   51.205
4460.0   54.489
4465.0   59.176
4470.0   62.667
4475.0   63.768
4480.0   63.421
4485.0   61.934
4490.0   62.924
4495.0   65.985
4500.0   70.904
4505.0   70.396
4510.0   67.335
4515.0   65.725
4520.0   60.747
4525.0   56.832
4530.0   59.465
4535.0   63.112
4540.0   64.151
4545.0   64.562
4550.0   66.845
4555.0   69.710
4560.0   69.797
4565.0   69.803
4570.0   69.144
4575.0   67.472
4580.0   67.599
4585.0   68.989
4590.0   67.569
4595.0   65.937
4600.0   69.162
4605.0   74.854
4610.0   77.300
4615.0   77.694
4620.0   77.375
4625.0   76.584
4630.0   73.466
4635.0   68.843
4640.0   66.260
4645.0   66.667
4650.0   71.749
4655.0   74.281
4660.0   70.079
4665.0   67.348
4670.0   71.516
4675.0   71.852
4680.0   70.528
4685.0   71.248
4690.0   71.559
4695.0   70.197
4700.0   68.370
4705.0   69.132
4710.0   72.168
4715.0   76.807
4720.0   76.369
4725.0   70.516
4730.0   71.109
4735.0   75.270
4740.0   76.350
4745.0   77.480
4750.0   76.138
4755.0   73.982
4760.0   72.555
4765.0   73.950
4770.0   77.724
4775.0   77.779
4780.0   74.509
4785.0   74.594
4790.0   78.711
4795.0   80.100
4800.0   79.521
4805.0   79.046
4810.0   80.665
4815.0   82.367
4820.0   80.665
4825.0   78.389
4830.0   78.235
4835.0   78.237
4840.0   78.318
4845.0   79.213
4850.0   77.025
4855.0   72.842
4860.0   71.046
4865.0   72.592
4870.0   73.822
4875.0   76.383
4880.0   74.667
4885.0   73.506
4890.0   79.142
4895.0   84.494
4900.0   82.789
4905.0   81.068
4910.0   78.902
4915.0   75.190
4920.0   75.833
4925.0   81.713
4930.0   81.785
4935.0   79.150
4940.0   83.237
4945.0   87.387
4950.0   85.962
4955.0   82.518
4960.0   82.941
4965.0   83.275
4970.0   84.636
4975.0   81.201
4980.0   76.473
4985.0   78.664
4990.0   80.969
4995.0   78.503
5000.0   75.226
5005.0   73.722
5010.0   72.809
5015.0   72.685
5020.0   75.829
5025.0   79.170
5030.0   80.080
5035.0   76.280
5040.0   75.108
5045.0   79.455
5050.0   81.719
5055.0   84.220
5060.0   82.347
5065.0   78.554
5070.0   77.090
5075.0   74.736
5080.0   74.232
5085.0   78.564
5090.0   80.354
5095.0   77.306
5100.0   75.183
5105.0   75.105
5110.0   77.402
5115.0   78.193
5120.0   73.531
5125.0   72.096
5130.0   75.243
5135.0   75.384
5140.0   72.588
5145.0   71.201
5150.0   73.301
5155.0   75.835
5160.0   69.383
5165.0   59.126
5170.0   59.095
5175.0   64.428
5180.0   65.992
5185.0   72.183
5190.0   77.597
5195.0   77.606
5200.0   73.547
5205.0   69.706
5210.0   77.570
5215.0   83.771
5220.0   80.753
5225.0   79.702
5230.0   85.225
5235.0   89.461
5240.0   88.930
5245.0   84.254
5250.0   83.437
5255.0   84.587
5260.0   77.107
5265.0   71.162
5270.0   78.730
5275.0   88.265
5280.0   92.332
5285.0   94.924
5290.0   93.273
5295.0   89.074
5300.0   93.806
5305.0   100.373
5310.0   99.766
5315.0   95.620
5320.0   88.880
5325.0   84.691
5330.0   89.391
5335.0   93.867
5340.0   92.532
5345.0   95.154
5350.0   100.880
5355.0   104.024
5360.0   99.556
5365.0   94.199
5370.0   94.875
5375.0   99.665
5380.0   98.774
5385.0   94.477
5390.0   90.157
5395.0   88.080
5400.0   87.343
5405.0   88.495
5410.0   96.007
5415.0   100.516
5420.0   98.478
5425.0   94.572
5430.0   92.689
5435.0   97.134
5440.0   100.000
5445.0   96.913
5450.0   97.116
5455.0   98.228
5460.0   99.382
5465.0   98.285
5470.0   94.838
5475.0   93.547
5480.0   96.089
5485.0   98.410
5490.0   99.544
5495.0   100.354
5500.0   98.877
5505.0   96.447
5510.0   96.361
5515.0   100.552
5520.0   102.647
5525.0   100.755
5530.0   100.891
5535.0   102.999
5540.0   105.069
5545.0   106.550
5550.0   106.535
5555.0   104.510
5560.0   102.426
5565.0   101.924
5570.0   104.058
5575.0   104.858
5580.0   100.555
5585.0   95.737
5590.0   97.799
5595.0   100.792
5600.0   103.335
5605.0   108.018
5610.0   105.419
5615.0   101.015
5620.0   101.243
5625.0   104.166
5630.0   106.185
5635.0   102.896
5640.0   102.150
5645.0   103.663
5650.0   103.188
5655.0   99.783
5660.0   100.819
5665.0   104.406
5670.0   107.995
5675.0   108.043
5680.0   104.982
5685.0   105.431
5690.0   106.942
5695.0   102.982
5700.0   98.002
5705.0   96.385
5710.0   101.297
5715.0   108.747
5720.0   110.405
5725.0   108.456
5730.0   108.262
5735.0   108.706
5740.0   108.484
5745.0   107.685
5750.0   106.899
5755.0   107.413
5760.0   109.273
5765.0   112.146
5770.0   109.658
5775.0   103.049
5780.0   98.168
5785.0   102.557
5790.0   108.130
5795.0   110.464
5800.0   111.301
5805.0   110.843
5810.0   111.968
5815.0   113.977
5820.0   115.676
5825.0   115.418
5830.0   113.855
5835.0   114.109
5840.0   114.467
5845.0   111.934
5850.0   108.762
5855.0   108.476
5860.0   110.708
5865.0   113.291
5870.0   113.907
5875.0   111.099
5880.0   103.575
5885.0   88.627
5890.0   83.301
5895.0   96.222
5900.0   108.947
5905.0   112.018
5910.0   110.549
5915.0   110.707
5920.0   112.908
5925.0   112.968
5930.0   112.014
5935.0   111.573
5940.0   112.053
5945.0   112.588
5950.0   111.572
5955.0   113.086
5960.0   115.290
5965.0   116.727
5970.0   115.166
5975.0   111.825
5980.0   110.676
5985.0   112.494
5990.0   113.276
5995.0   112.183
6000.0   110.930
6005.0   110.419
6010.0   109.731
6015.0   109.497
6020.0   112.170
6025.0   115.706
6030.0   117.410
6035.0   117.622
6040.0   118.506
6045.0   119.040
6050.0   116.913
6055.0   114.644
6060.0   114.686
6065.0   118.384
6070.0   119.903
6075.0   115.608
6080.0   112.697
6085.0   112.173
6090.0   112.576
6095.0   112.757
6100.0   111.674
6105.0   113.920
6110.0   114.894
6115.0   111.447
6120.0   109.794
6125.0   111.468
6130.0   108.177
6135.0   107.128
6140.0   111.766
6145.0   112.943
6150.0   111.506
6155.0   106.885
6160.0   103.502
6165.0   106.306
6170.0   110.459
6175.0   113.960
6180.0   112.749
6185.0   108.869
6190.0   109.964
6195.0   113.016
6200.0   114.176
6205.0   112.854
6210.0   105.932
6215.0   104.769
6220.0   107.208
6225.0   106.058
6230.0   107.410
6235.0   106.012
6240.0   103.821
6245.0   105.389
6250.0   100.767
6255.0   99.859
6260.0   105.082
6265.0   107.805
6270.0   107.926
6275.0   105.948
6280.0   107.566
6285.0   110.541
6290.0   108.103
6295.0   105.786
6300.0   107.636
6305.0   109.335
6310.0   107.063
6315.0   106.471
6320.0   110.717
6325.0   112.958
6330.0   111.247
6335.0   109.862
6340.0   111.042
6345.0   113.165
6350.0   110.938
6355.0   105.326
6360.0   106.211
6365.0   113.281
6370.0   116.445
6375.0   115.327
6380.0   115.938
6385.0   115.334
6390.0   112.925
6395.0   113.075
6400.0   114.525
6405.0   113.831
6410.0   112.960
6415.0   113.791
6420.0   115.200
6425.0   115.211
6430.0   113.979
6435.0   115.964
6440.0   116.629
6445.0   112.730
6450.0   112.651
6455.0   116.080
6460.0   115.168
6465.0   115.888
6470.0   117.077
6475.0   116.590
6480.0   115.932
6485.0   113.081
6490.0   105.583
6495.0   105.973
6500.0   113.483
6505.0   117.044
6510.0   117.308
6515.0   117.290
6520.0   117.438
6525.0   116.819
6530.0   116.983
6535.0   118.150
6540.0   117.090
6545.0   115.132
6550.0   112.735
6555.0   107.738
6560.0   105.531
6565.0   111.851
6570.0   113.670
6575.0   116.185
6580.0   117.461
6585.0   116.543
6590.0   114.352
6595.0   115.722
6600.0   115.897
6605.0   114.879
6610.0   117.468
6615.0   119.408
6620.0   117.673
6625.0   115.590
6630.0   115.483
6635.0   116.462
6640.0   116.926
6645.0   117.721
6650.0   118.614
6655.0   117.139
6660.0   114.981
6665.0   115.674
6670.0   116.918
6675.0   116.201
6680.0   118.380
6685.0   119.265
6690.0   117.759
6695.0   116.427
6700.0   116.099
6705.0   115.221
6710.0   113.925
6715.0   115.028
6720.0   117.209
6725.0   117.706
6730.0   116.569
6735.0   114.705
6740.0   113.546
6745.0   113.719
6750.0   115.179
6755.0   117.025
6760.0   116.364
6765.0   114.643
6770.0   115.902
6775.0   117.128
6780.0   115.459
6785.0   115.253
6790.0   115.930
6795.0   116.160
6800.0   116.158
