lambda  Flambda
3505.0  22.239
3510.0  22.665
3515.0  22.279
3520.0  23.420
3525.0  28.023
3530.0  32.290
3535.0  33.841
3540.0  32.838
3545.0  30.242
3550.0  27.445
3555.0  23.655
3560.0  18.525
3565.0  15.789
3570.0  14.609
3575.0  13.721
3580.0  15.511
3585.0  19.354
3590.0  22.602
3595.0  22.266
3600.0  19.307
3605.0  18.797
3610.0  20.279
3615.0  22.291
3620.0  23.431
3625.0  22.665
3630.0  23.865
3635.0  25.421
3640.0  25.197
3645.0  28.480
3650.0  34.758
3655.0  38.438
3660.0  38.303
3665.0  35.634
3670.0  31.051
3675.0  27.053
3680.0  27.620
3685.0  31.813
3690.0  34.606
3695.0  32.175
3700.0  27.421
3705.0  25.606
3710.0  23.140
3715.0  19.253
3720.0  17.262
3725.0  14.969
3730.0  12.962
3735.0  12.888
3740.0  13.676
3745.0  16.342
3750.0  19.098
3755.0  20.689
3760.0  24.756
3765.0  30.937
3770.0  34.683
3775.0  33.948
3780.0  30.012
3785.0  27.041
3790.0  26.788
3795.0  28.496
3800.0  29.240
3805.0  25.836
3810.0  20.157
3815.0  15.708
3820.0  13.588
3825.0  13.539
3830.0  15.256
3835.0  19.016
3840.0  22.764
3845.0  22.581
3850.0  20.081
3855.0  19.967
3860.0  22.052
3865.0  23.042
3870.0  22.551
3875.0  22.024
3880.0  22.971
3885.0  25.059
3890.0  25.646
3895.0  25.616
3900.0  27.599
3905.0  29.854
3910.0  28.192
3915.0  23.371
3920.0  18.499
3925.0  15.174
3930.0  15.342
3935.0  18.907
3940.0  24.116
3945.0  27.412
3950.0  25.077
3955.0  19.717
3960.0  17.402
3965.0  21.469
3970.0  30.096
3975.0  38.166
3980.0  43.465
3985.0  46.375
3990.0  47.887
3995.0  49.326
4000.0  51.157
4005.0  53.504
4010.0  55.160
4015.0  55.481
4020.0  53.147
4025.0  49.636
4030.0  49.578
4035.0  49.363
4040.0  49.375
4045.0  52.384
4050.0  52.208
4055.0  49.181
4060.0  48.598
4065.0  50.824
4070.0  55.166
4075.0  61.949
4080.0  67.459
4085.0  66.620
4090.0  60.706
4095.0  57.240
4100.0  58.625
4105.0  61.142
4110.0  62.928
4115.0  63.018
4120.0  60.693
4125.0  57.824
4130.0  57.059
4135.0  55.688
4140.0  55.627
4145.0  58.954
4150.0  62.633
4155.0  64.275
4160.0  61.880
4165.0  58.483
4170.0  58.206
4175.0  59.047
4180.0  58.967
4185.0  58.891
4190.0  57.022
4195.0  56.392
4200.0  60.434
4205.0  63.145
4210.0  58.851
4215.0  48.111
4220.0  39.412
4225.0  42.119
4230.0  51.002
4235.0  57.677
4240.0  57.447
4245.0  52.645
4250.0  51.748
4255.0  54.920
4260.0  55.209
4265.0  51.717
4270.0  52.438
4275.0  55.393
4280.0  54.201
4285.0  51.602
4290.0  49.677
4295.0  47.290
4300.0  47.668
4305.0  54.918
4310.0  64.966
4315.0  68.518
4320.0  69.452
4325.0  74.197
4330.0  76.385
4335.0  76.893
4340.0  78.689
4345.0  78.738
4350.0  80.224
4355.0  83.790
4360.0  83.998
4365.0  79.406
4370.0  72.245
4375.0  65.349
4380.0  65.183
4385.0  72.032
4390.0  76.216
4395.0  73.205
4400.0  71.496
4405.0  76.142
4410.0  80.612
4415.0  82.239
4420.0  81.422
4425.0  80.820
4430.0  82.376
4435.0  85.574
4440.0  86.345
4445.0  81.647
4450.0  76.777
4455.0  79.870
4460.0  88.085
4465.0  94.405
4470.0  96.494
4475.0  96.406
4480.0  96.521
4485.0  95.920
4490.0  97.501
4495.0  100.673
4500.0  103.924
4505.0  102.123
4510.0  99.413
4515.0  96.878
4520.0  88.562
4525.0  82.609
4530.0  87.244
4535.0  95.052
4540.0  95.351
4545.0  95.597
4550.0  100.148
4555.0  103.426
4560.0  103.561
4565.0  103.197
4570.0  102.406
4575.0  100.359
4580.0  101.204
4585.0  102.510
4590.0  101.877
4595.0  97.521
4600.0  99.491
4605.0  103.216
4610.0  101.934
4615.0  101.752
4620.0  102.519
4625.0  103.656
4630.0  100.281
4635.0  98.336
4640.0  97.308
4645.0  96.308
4650.0  100.074
4655.0  102.869
4660.0  97.390
4665.0  96.830
4670.0  100.682
4675.0  99.241
4680.0  98.225
4685.0  99.939
4690.0  98.370
4695.0  93.186
4700.0  91.770
4705.0  95.498
4710.0  99.720
4715.0  101.868
4720.0  99.213
4725.0  95.447
4730.0  95.297
4735.0  98.544
4740.0  99.411
4745.0  97.760
4750.0  94.145
4755.0  91.820
4760.0  90.067
4765.0  89.022
4770.0  87.635
4775.0  85.358
4780.0  85.984
4785.0  90.847
4790.0  95.592
4795.0  96.218
4800.0  97.630
4805.0  98.525
4810.0  99.218
4815.0  97.564
4820.0  93.656
4825.0  93.125
4830.0  93.580
4835.0  94.395
4840.0  97.307
4845.0  99.040
4850.0  95.830
4855.0  91.007
4860.0  89.818
4865.0  90.239
4870.0  90.459
4875.0  92.833
4880.0  90.248
4885.0  88.838
4890.0  94.764
4895.0  98.952
4900.0  97.009
4905.0  96.055
4910.0  90.800
4915.0  85.519
4920.0  90.467
4925.0  96.106
4930.0  93.634
4935.0  91.942
4940.0  96.505
4945.0  97.513
4950.0  92.235
4955.0  88.522
4960.0  92.170
4965.0  93.543
4970.0  92.796
4975.0  87.261
4980.0  83.644
4985.0  86.336
4990.0  86.738
4995.0  84.454
5000.0  81.417
5005.0  80.498
5010.0  79.526
5015.0  81.291
5020.0  83.659
5025.0  83.918
5030.0  81.483
5035.0  77.931
5040.0  79.006
5045.0  82.638
5050.0  83.132
5055.0  83.309
5060.0  79.578
5065.0  76.565
5070.0  75.823
5075.0  75.106
5080.0  76.319
5085.0  79.080
5090.0  78.109
5095.0  74.207
5100.0  72.828
5105.0  75.065
5110.0  77.211
5115.0  75.944
5120.0  71.434
5125.0  71.316
5130.0  73.946
5135.0  73.700
5140.0  71.741
5145.0  70.172
5150.0  71.945
5155.0  73.087
5160.0  62.671
5165.0  50.844
5170.0  50.595
5175.0  54.017
5180.0  57.313
5185.0  70.291
5190.0  78.635
5195.0  77.180
5200.0  69.052
5205.0  71.420
5210.0  87.425
5215.0  93.863
5220.0  89.928
5225.0  89.050
5230.0  95.697
5235.0  100.586
5240.0  99.625
5245.0  97.030
5250.0  96.538
5255.0  91.585
5260.0  79.799
5265.0  77.693
5270.0  89.038
5275.0  96.961
5280.0  99.381
5285.0  101.783
5290.0  98.733
5295.0  96.148
5300.0  101.739
5305.0  105.962
5310.0  105.327
5315.0  99.365
5320.0  90.364
5325.0  89.256
5330.0  96.555
5335.0  98.265
5340.0  97.275
5345.0  100.879
5350.0  105.556
5355.0  105.854
5360.0  99.623
5365.0  94.365
5370.0  98.896
5375.0  104.698
5380.0  103.211
5385.0  99.809
5390.0  95.080
5395.0  92.544
5400.0  91.437
5405.0  93.888
5410.0  101.308
5415.0  103.549
5420.0  100.109
5425.0  95.497
5430.0  96.797
5435.0  101.320
5440.0  100.000
5445.0  98.217
5450.0  100.170
5455.0  101.568
5460.0  102.853
5465.0  102.771
5470.0  99.813
5475.0  99.759
5480.0  102.821
5485.0  104.663
5490.0  104.428
5495.0  102.844
5500.0  101.850
5505.0  100.424
5510.0  101.484
5515.0  105.426
5520.0  103.862
5525.0  102.728
5530.0  105.761
5535.0  107.309
5540.0  107.603
5545.0  108.482
5550.0  108.215
5555.0  105.770
5560.0  102.208
5565.0  100.626
5570.0  104.010
5575.0  104.515
5580.0  97.819
5585.0  95.233
5590.0  98.249
5595.0  100.210
5600.0  104.991
5605.0  107.348
5610.0  102.822
5615.0  102.560
5620.0  105.718
5625.0  108.415
5630.0  109.427
5635.0  108.083
5640.0  108.268
5645.0  108.288
5650.0  106.207
5655.0  103.867
5660.0  106.710
5665.0  108.558
5670.0  109.002
5675.0  107.619
5680.0  105.543
5685.0  106.553
5690.0  107.467
5695.0  104.848
5700.0  102.040
5705.0  100.881
5710.0  105.443
5715.0  109.510
5720.0  108.691
5725.0  107.830
5730.0  108.675
5735.0  109.268
5740.0  109.323
5745.0  108.413
5750.0  108.087
5755.0  108.333
5760.0  109.374
5765.0  110.442
5770.0  108.808
5775.0  105.571
5780.0  103.991
5785.0  106.664
5790.0  109.327
5795.0  110.205
5800.0  109.812
5805.0  110.041
5810.0  110.661
5815.0  111.644
5820.0  111.911
5825.0  111.637
5830.0  111.117
5835.0  111.566
5840.0  111.095
5845.0  109.693
5850.0  105.863
5855.0  105.636
5860.0  108.144
5865.0  110.024
5870.0  109.400
5875.0  105.908
5880.0  89.502
5885.0  68.682
5890.0  72.105
5895.0  93.327
5900.0  106.518
5905.0  107.953
5910.0  106.891
5915.0  107.593
5920.0  108.792
5925.0  108.266
5930.0  108.352
5935.0  108.594
5940.0  108.271
5945.0  108.108
5950.0  108.528
5955.0  109.713
