#      lam        flam
#
  3505.000     63.010
  3510.000     61.327
  3515.000     62.303
  3520.000     62.428
  3525.000     61.746
  3530.000     63.171
  3535.000     64.418
  3540.000     63.702
  3545.000     61.680
  3550.000     59.545
  3555.000     58.494
  3560.000     56.766
  3565.000     53.894
  3570.000     52.510
  3575.000     51.927
  3580.000     50.731
  3585.000     52.175
  3590.000     57.722
  3595.000     61.910
  3600.000     60.446
  3605.000     56.728
  3610.000     55.444
  3615.000     57.339
  3620.000     60.434
  3625.000     61.706
  3630.000     61.334
  3635.000     61.383
  3640.000     60.558
  3645.000     60.346
  3650.000     62.630
  3655.000     64.309
  3660.000     63.726
  3665.000     63.122
  3670.000     63.428
  3675.000     63.024
  3680.000     61.697
  3685.000     62.106
  3690.000     64.193
  3695.000     63.314
  3700.000     59.601
  3705.000     59.607
  3710.000     63.507
  3715.000     72.045
  3720.000     89.159
  3725.000     93.491
  3730.000     73.422
  3735.000     58.093
  3740.000     54.984
  3745.000     55.719
  3750.000     60.407
  3755.000     64.189
  3760.000     64.097
  3765.000     63.748
  3770.000     66.710
  3775.000     71.911
  3780.000     73.223
  3785.000     68.011
  3790.000     61.503
  3795.000     60.637
  3800.000     66.485
  3805.000     71.706
  3810.000     69.707
  3815.000     63.466
  3820.000     58.554
  3825.000     53.902
  3830.000     50.276
  3835.000     53.734
  3840.000     62.795
  3845.000     68.203
  3850.000     68.208
  3855.000     68.445
  3860.000     70.753
  3865.000     71.734
  3870.000     69.497
  3875.000     65.950
  3880.000     63.138
  3885.000     62.974
  3890.000     65.204
  3895.000     68.081
  3900.000     71.084
  3905.000     73.689
  3910.000     74.341
  3915.000     72.734
  3920.000     67.557
  3925.000     58.370
  3930.000     53.311
  3935.000     57.864
  3940.000     65.260
  3945.000     69.870
  3950.000     71.083
  3955.000     65.456
  3960.000     54.698
  3965.000     50.033
  3970.000     57.159
  3975.000     69.207
  3980.000     78.156
  3985.000     82.899
  3990.000     85.152
  3995.000     86.075
  4000.000     86.430
  4005.000     87.812
  4010.000     90.227
  4015.000     91.781
  4020.000     91.501
  4025.000     89.180
  4030.000     87.913
  4035.000     87.976
  4040.000     87.198
  4045.000     87.262
  4050.000     87.211
  4055.000     85.619
  4060.000     84.979
  4065.000     85.863
  4070.000     86.063
  4075.000     86.657
  4080.000     88.228
  4085.000     87.834
  4090.000     84.115
  4095.000     80.916
  4100.000     80.934
  4105.000     83.269
  4110.000     85.775
  4115.000     87.206
  4120.000     87.853
  4125.000     88.055
  4130.000     89.017
  4135.000     90.125
  4140.000     90.085
  4145.000     89.210
  4150.000     88.409
  4155.000     89.381
  4160.000     90.152
  4165.000     87.947
  4170.000     85.410
  4175.000     84.967
  4180.000     85.812
  4185.000     86.882
  4190.000     86.363
  4195.000     85.097
  4200.000     86.664
  4205.000     89.685
  4210.000     90.427
  4215.000     88.568
  4220.000     85.107
  4225.000     84.364
  4230.000     86.758
  4235.000     89.377
  4240.000     90.120
  4245.000     88.372
  4250.000     86.901
  4255.000     87.557
  4260.000     88.192
  4265.000     86.086
  4270.000     85.016
  4275.000     85.922
  4280.000     84.954
  4285.000     82.493
  4290.000     79.642
  4295.000     75.003
  4300.000     71.437
  4305.000     74.627
  4310.000     83.501
  4315.000     87.819
  4320.000     86.118
  4325.000     86.713
  4330.000     89.947
  4335.000     91.137
  4340.000     88.177
  4345.000     86.183
  4350.000     88.004
  4355.000     91.521
  4360.000     92.896
  4365.000     91.919
  4370.000     89.750
  4375.000     86.171
  4380.000     82.489
