lambda Flambda
3505.0 499.432
3510.0 503.918
3515.0 507.351
3520.0 505.552
3525.0 502.664
3530.0 503.805
3535.0 502.847
3540.0 487.994
3545.0 479.923
3550.0 483.870
3555.0 482.765
3560.0 469.759
3565.0 462.744
3570.0 455.421
3575.0 447.510
3580.0 439.779
3585.0 437.024
3590.0 439.875
3595.0 441.035
3600.0 439.537
3605.0 438.408
3610.0 436.557
3615.0 433.812
3620.0 431.315
3625.0 429.763
3630.0 428.053
3635.0 427.076
3640.0 430.323
3645.0 434.510
3650.0 443.681
3655.0 441.877
3660.0 431.919
3665.0 429.200
3670.0 425.369
3675.0 423.593
3680.0 424.729
3685.0 423.722
3690.0 418.908
3695.0 411.853
3700.0 404.852
3705.0 409.895
3710.0 412.977
3715.0 412.924
3720.0 405.970
3725.0 405.974
3730.0 404.672
3735.0 405.006
3740.0 397.250
3745.0 388.113
3750.0 387.596
3755.0 375.411
3760.0 383.743
3765.0 376.828
3770.0 389.102
3775.0 405.326
3780.0 413.783
3785.0 399.125
3790.0 377.885
3795.0 376.329
3800.0 395.903
3805.0 413.445
3810.0 417.919
3815.0 415.552
3820.0 415.618
3825.0 390.655
3830.0 371.727
3835.0 375.026
3840.0 395.903
3845.0 407.407
3850.0 410.373
3855.0 408.622
3860.0 404.564
3865.0 397.723
3870.0 387.332
3875.0 369.412
3880.0 347.892
3885.0 331.971
3890.0 350.226
3895.0 373.350
3900.0 381.455
3905.0 379.005
3910.0 374.393
3915.0 369.496
3920.0 365.436
3925.0 378.038
3930.0 362.353
3935.0 366.133
3940.0 368.300
3945.0 364.677
3950.0 355.058
3955.0 336.352
3960.0 307.877
3965.0 291.208
3970.0 305.231
3975.0 329.178
3980.0 341.943
3985.0 344.900
3990.0 343.816
3995.0 341.471
4000.0 339.411
4005.0 336.310
4010.0 331.662
4015.0 324.612
4020.0 316.068
4025.0 315.312
4030.0 321.117
4035.0 325.569
4040.0 328.455
4045.0 330.043
4050.0 328.684
4055.0 327.086
4060.0 325.555
4065.0 321.784
4070.0 318.781
4075.0 316.394
4080.0 317.299
4085.0 305.500
4090.0 284.928
4095.0 265.118
4100.0 268.002
4105.0 287.774
4110.0 300.924
4115.0 306.355
4120.0 303.625
4125.0 304.549
4130.0 302.474
4135.0 304.452
4140.0 300.245
4145.0 293.852
4150.0 295.053
4155.0 296.310
4160.0 295.494
4165.0 292.007
4170.0 288.938
4175.0 286.777
4180.0 283.779
4185.0 279.537
4190.0 274.031
4195.0 270.587
4200.0 272.839
4205.0 275.698
4210.0 275.574
4215.0 275.232
4220.0 274.597
4225.0 273.304
4230.0 277.462
4235.0 275.567
4240.0 268.307
4245.0 266.280
4250.0 264.743
4255.0 263.892
4260.0 267.399
4265.0 266.459
4270.0 265.519
4275.0 265.454
4280.0 265.625
4285.0 265.454
4290.0 264.962
4295.0 263.554
4300.0 261.079
4305.0 258.366
4310.0 256.224
4315.0 254.300
4320.0 250.202
4325.0 239.701
4330.0 221.117
4335.0 206.453
4340.0 211.914
4345.0 228.764
4350.0 240.466
4355.0 244.238
4360.0 243.789
4365.0 242.528
4370.0 237.604
4375.0 239.628
4380.0 235.361
4385.0 233.288
4390.0 234.767
4395.0 235.693
4400.0 233.918
4405.0 230.420
4410.0 227.270
4415.0 224.509
4420.0 221.194
4425.0 218.378
4430.0 217.670
4435.0 219.513
4440.0 222.064
4445.0 223.110
4450.0 222.677
4455.0 220.670
4460.0 215.044
4465.0 208.144
4470.0 207.751
4475.0 211.945
4480.0 215.393
4485.0 216.783
4490.0 216.199
4495.0 214.673
4500.0 212.910
4505.0 211.161
4510.0 210.456
4515.0 210.861
4520.0 209.334
4525.0 206.724
4530.0 203.127
4535.0 199.811
4540.0 200.193
4545.0 202.139
4550.0 203.592
4555.0 204.027
4560.0 203.493
4565.0 201.942
4570.0 200.452
4575.0 199.330
4580.0 197.494
4585.0 195.575
4590.0 194.200
4595.0 192.474
4600.0 192.417
4605.0 191.608
4610.0 191.016
4615.0 190.362
4620.0 188.948
4625.0 186.442
4630.0 184.393
4635.0 181.283
4640.0 176.311
4645.0 174.600
4650.0 178.334
4655.0 180.753
4660.0 180.074
4665.0 178.473
4670.0 175.638
4675.0 170.976
4680.0 167.117
4685.0 170.092
4690.0 173.833
4695.0 172.926
4700.0 171.088
4705.0 168.647
4710.0 167.871
4715.0 168.939
4720.0 168.510
4725.0 167.155
4730.0 167.066
4735.0 166.487
4740.0 165.824
4745.0 164.604
4750.0 163.180
4755.0 161.845
4760.0 161.145
4765.0 161.008
4770.0 160.463
4775.0 159.870
4780.0 159.671
4785.0 159.938
4790.0 159.181
4795.0 157.975
4800.0 157.579
4805.0 156.661
4810.0 155.815
4815.0 155.163
4820.0 154.313
4825.0 153.950
4830.0 152.897
4835.0 152.025
4840.0 149.816
4845.0 143.899
4850.0 131.457
4855.0 120.995
4860.0 126.371
4865.0 138.911
4870.0 143.021
4875.0 143.135
4880.0 143.576
4885.0 143.957
4890.0 144.056
4895.0 143.922
4900.0 143.514
4905.0 142.759
4910.0 140.461
4915.0 137.189
4920.0 138.158
4925.0 141.326
4930.0 141.738
4935.0 141.364
4940.0 140.837
4945.0 140.359
4950.0 139.679
4955.0 139.084
4960.0 138.578
4965.0 138.028
4970.0 137.360
4975.0 137.136
4980.0 136.705
4985.0 136.351
4990.0 135.879
4995.0 135.258
5000.0 134.127
5005.0 132.083
5010.0 130.623
5015.0 131.131
5020.0 132.002
5025.0 132.003
5030.0 131.460
5035.0 130.252
5040.0 129.140
5045.0 129.009
5050.0 129.885
5055.0 129.580
5060.0 129.398
5065.0 128.836
5070.0 128.340
5075.0 127.988
5080.0 127.521
5085.0 126.912
5090.0 126.578
5095.0 126.028
5100.0 125.295
5105.0 124.810
5110.0 124.329
5115.0 124.093
5120.0 123.603
5125.0 123.097
5130.0 122.723
5135.0 122.550
5140.0 121.984
5145.0 121.378
5150.0 120.718
5155.0 120.166
5160.0 119.892
5165.0 119.819
5170.0 119.574
5175.0 119.260
5180.0 119.079
5185.0 118.800
5190.0 118.286
5195.0 117.771
5200.0 117.429
5205.0 117.215
5210.0 116.680
5215.0 116.132
5220.0 115.840
5225.0 115.589
5230.0 115.143
5235.0 114.558
5240.0 114.230
5245.0 113.753
5250.0 113.483
5255.0 113.261
5260.0 112.666
5265.0 112.395
5270.0 112.165
5275.0 111.902
5280.0 111.779
5285.0 111.422
5290.0 110.867
5295.0 110.350
5300.0 109.955
5305.0 109.866
5310.0 109.678
5315.0 109.305
5320.0 108.911
5325.0 108.698
5330.0 108.389
5335.0 107.948
5340.0 107.606
5345.0 107.464
5350.0 106.902
5355.0 106.175
5360.0 105.716
5365.0 105.642
5370.0 105.544
5375.0 105.209
5380.0 105.000
5385.0 104.595
5390.0 104.021
5395.0 102.920
5400.0 100.628
5405.0 98.414
5410.0 98.935
5415.0 101.031
5420.0 101.527
5425.0 101.465
5430.0 101.330
5435.0 100.726
5440.0 100.000
5445.0 99.564
5450.0 99.394
5455.0 99.428
5460.0 99.314
5465.0 99.139
5470.0 99.069
5475.0 98.438
5480.0 97.683
5485.0 97.331
5490.0 97.310
5495.0 97.043
5500.0 96.748
5505.0 96.477
5510.0 96.536
5515.0 96.228
5520.0 95.661
5525.0 95.208
5530.0 94.706
5535.0 94.492
5540.0 94.544
5545.0 94.653
5550.0 94.742
5555.0 94.343
5560.0 94.007
5565.0 93.886
5570.0 94.085
5575.0 93.482
5580.0 92.200
5585.0 91.158
5590.0 90.999
5595.0 91.479
5600.0 91.512
5605.0 91.234
5610.0 90.945
5615.0 90.834
5620.0 90.723
5625.0 90.389
5630.0 89.948
5635.0 89.512
5640.0 89.168
5645.0 88.894
5650.0 88.458
5655.0 88.033
5660.0 87.788
5665.0 87.448
5670.0 86.929
5675.0 86.780
5680.0 86.730
5685.0 86.517
5690.0 86.063
5695.0 85.387
5700.0 84.663
5705.0 84.616
5710.0 84.667
5715.0 84.418
5720.0 84.026
5725.0 83.745
5730.0 83.338
5735.0 82.837
5740.0 82.578
5745.0 82.538
5750.0 82.472
5755.0 82.072
5760.0 81.307
5765.0 80.250
5770.0 78.485
5775.0 77.321
5780.0 78.303
5785.0 79.177
5790.0 78.449
5795.0 78.051
5800.0 78.460
5805.0 78.521
5810.0 78.702
5815.0 79.066
5820.0 78.978
5825.0 78.755
