# objname, z,  logstellar_mass_median, logstellar_mass_errup, logstellar_mass_errdown, sfr_100myr_median, sfr_100myr_errup, sfr_100myr_errdown, logssfr_100myr_median, logssfr_100myr_errup, logssfr_100myr_errdown, logzsol_median, logzsol_errup, logzsol_errdown, tau_dust_median, tau_dust_errup, tau_dust_errdown, avg_age_median, avg_age_errup, avg_age_errdown
AEGIS_13,1.3049,10.6668,10.7186,10.6130,27.5797,48.3471,20.3745,-9.2277,-8.9342,-9.3785,-0.1932,-0.0107,-0.3838,1.5256,1.6387,1.3251,2.3332,2.6073,2.0686
AEGIS_17,1.7499,10.5574,10.6116,10.5091,36.0981,43.4118,28.2314,-9.0063,-8.8901,-9.1345,-0.5424,-0.4097,-0.7122,1.4438,1.6055,1.2956,1.3044,1.5864,0.9056
AEGIS_19,1.0761,9.5103,9.5860,9.4313,1.9710,2.8833,1.3332,-9.2199,-8.9988,-9.4338,-0.3362,-0.1239,-0.5662,0.2180,0.3753,0.0977,2.4021,2.8717,1.6812
AEGIS_22,1.6570,9.2836,9.4430,9.1270,1.3458,3.1712,0.6451,-9.1295,-8.7967,-9.4841,-0.3362,0.0462,-1.0298,0.4972,0.9225,0.1484,1.7440,2.2839,1.2629
AEGIS_23,0.9595,8.3858,8.5312,8.2041,0.2428,0.6563,0.1475,-8.9724,-8.5159,-9.2775,-0.7338,-0.1915,-1.2874,0.3409,0.8297,0.1512,2.0535,2.8804,0.9751
AEGIS_24,0.8832,8.6194,8.7948,8.4144,1.0489,1.8686,0.4491,-8.5945,-8.3191,-8.8972,-0.0085,0.1364,-0.9609,0.9126,1.4469,0.6164,1.5469,2.1962,0.7102
AEGIS_27,0.6806,9.6716,9.7142,9.6112,2.0151,2.9348,1.3927,-9.3700,-9.1608,-9.5572,0.0782,0.1556,-0.0388,0.2816,0.3468,0.2023,3.8008,4.1165,3.3712
AEGIS_28,0.7626,8.8933,9.0602,8.7512,1.3215,1.7894,0.8995,-8.7678,-8.5610,-9.0241,-0.1858,0.0050,-0.4207,0.4236,0.5346,0.3144,1.1155,2.1427,0.5974
AEGIS_31,1.4620,9.5087,9.6492,9.3283,1.7407,3.1122,0.7883,-9.2721,-8.8730,-9.7424,-1.1500,-0.5941,-1.6539,0.3875,0.6222,0.2237,1.9392,2.4024,1.3013
AEGIS_37,2.3198,9.7861,9.8630,9.6919,3.1599,5.6128,1.7073,-9.3069,-8.9833,-9.5834,-0.5025,-0.0408,-0.9874,0.5224,0.7601,0.1828,1.2862,1.6230,0.9105
AEGIS_46,1.2171,10.6500,10.6814,10.6233,0.0390,0.1557,0.0023,-12.0607,-11.4570,-13.2804,-0.3310,-0.1561,-0.4902,0.4362,0.5546,0.3307,3.4361,3.8056,3.1985
AEGIS_48,0.6655,9.0843,9.2046,8.8926,0.6508,1.0162,0.3205,-9.2875,-8.8839,-9.6914,-0.3622,-0.0099,-0.8363,0.5394,0.6925,0.2276,2.9360,3.7867,1.8136
AEGIS_52,2.1005,9.2044,9.3036,9.0819,1.4946,3.1492,0.5348,-9.0259,-8.6473,-9.5289,-0.6045,-0.1554,-1.0348,0.1598,0.5019,0.0350,1.2399,1.6354,0.8584
AEGIS_53,0.6432,8.4106,8.5136,8.2884,0.4357,1.4308,0.2212,-8.7981,-8.2179,-9.0805,-0.8004,-0.4905,-1.3254,0.4523,1.1167,0.1701,2.7770,3.1066,1.2652
AEGIS_55,0.6970,9.0449,9.1210,8.9566,0.3509,0.5786,0.2513,-9.4996,-9.2145,-9.7081,-0.2067,0.0293,-0.4062,0.1875,0.3440,0.0700,2.9682,3.9230,2.3127
AEGIS_58,2.6975,9.4131,9.5655,9.2387,2.6249,4.9673,1.3725,-8.9972,-8.6060,-9.3427,-0.5363,-0.0812,-1.1315,0.2861,0.5616,0.1095,0.9950,1.3031,0.6274
AEGIS_59,2.8729,9.3990,9.5484,9.1973,4.5118,11.5431,1.6534,-8.6856,-8.2224,-9.2659,-0.2568,-0.0014,-0.7201,0.5090,0.9911,0.1164,0.9749,1.3552,0.4147
AEGIS_61,1.0774,9.2600,9.3379,9.1647,0.1324,0.6431,0.0129,-10.1499,-9.3882,-11.1875,-1.3868,-1.0074,-1.7446,1.1117,1.3306,0.8877,3.0494,3.7403,2.4435
AEGIS_63,1.2187,9.9313,9.9802,9.8798,3.5027,5.6479,2.4681,-9.3824,-9.1382,-9.5732,-0.1241,0.0160,-0.3332,0.2795,0.4733,0.1353,2.5236,2.8533,2.0674
AEGIS_70,1.0916,9.5727,9.6372,9.5016,1.6620,3.1490,1.2171,-9.3663,-9.0300,-9.5182,-0.5561,-0.3660,-0.7388,0.0627,0.1657,0.0217,2.2846,2.6825,1.7161
AEGIS_73,2.2613,9.9953,10.0633,9.8860,12.8386,20.0356,9.3568,-8.8904,-8.6216,-9.0887,-0.4459,-0.2043,-0.6433,0.5376,0.6563,0.3745,1.2862,1.4783,0.9379
AEGIS_82,0.5234,7.7616,8.0164,7.5550,0.2193,0.3108,0.1304,-8.4149,-8.1612,-8.8033,-0.9918,-0.7291,-1.3842,0.2280,0.3215,0.0790,1.8218,2.9839,0.7667
AEGIS_83,0.7250,9.8082,9.8448,9.7650,1.4208,1.8979,1.0820,-9.6530,-9.4904,-9.8058,-0.1479,0.0002,-0.3719,0.0905,0.1720,0.0371,3.4159,3.7970,3.0092
AEGIS_86,2.2949,10.0571,10.1160,9.9890,5.5737,9.7468,2.8732,-9.3048,-9.0232,-9.6386,-0.2834,0.0232,-0.5809,0.7957,0.9898,0.5505,1.5242,1.8580,1.2343
AEGIS_87,2.5730,9.6132,9.7033,9.5046,2.3077,3.1494,1.7309,-9.2539,-9.0428,-9.4286,-0.0882,0.0865,-0.2915,0.0574,0.1347,0.0177,1.5178,1.7622,1.2636
AEGIS_90,0.5693,8.7097,8.7904,8.6154,0.1105,0.2003,0.0599,-9.6765,-9.3605,-9.9644,-0.5905,-0.2936,-0.9713,0.2400,0.4464,0.0733,3.5961,4.3681,2.6807
AEGIS_91,0.9172,8.5761,8.7042,8.4089,0.3008,0.4940,0.1973,-9.0866,-8.7434,-9.3744,-0.1301,0.0808,-0.5895,0.2086,0.4333,0.0876,2.5167,3.1366,1.5046
