# objname, z, logm_median, logm_errup, logm_errdown, logsfr_median, logsfr_errup, logsfr_errdown, fagn_median, fagn_errup, fagn_errdown, fmir_median, fmir_errup, fmir_errdown, ssfr_100_median, ssfr_100_errup, ssfr_100_errdown, massmet_2_median, massmet_2_errup, massmet_2_errdown, dust2_median, dust2_errup, dust2_errdown, avg_age_median, avg_age_errup, avg_age_errdown 
218604,0.380,11.155,11.163,11.146,-2.052,-1.241,-4.462,0.000,0.001,0.000,0.003,0.012,0.001,-13.204,-12.393,-15.622,-0.267,-0.190,-0.354,0.074,0.118,0.033,8.882,8.887,8.839
219965,0.096,10.072,10.086,10.059,-0.574,-0.492,-0.679,0.000,0.000,0.000,0.001,0.002,0.000,-10.646,-10.568,-10.749,-0.289,-0.251,-0.327,0.189,0.219,0.164,8.284,8.662,7.997
220358,0.620,9.136,9.217,9.049,-0.722,-0.501,-0.944,0.001,0.007,0.000,0.012,0.133,0.001,-9.868,-9.622,-10.088,-0.959,-0.676,-1.288,0.108,0.223,0.038,3.617,4.181,2.972
220511,0.737,9.389,9.520,9.238,0.156,0.310,-0.006,0.058,0.145,0.019,0.368,0.573,0.154,-9.211,-8.973,-9.496,-1.021,-0.559,-1.482,0.347,0.500,0.206,2.918,3.490,2.167
220525,0.362,9.042,9.105,8.948,-0.973,-0.803,-1.139,0.001,0.017,0.000,0.018,0.214,0.001,-10.003,-9.800,-10.202,-1.493,-1.214,-1.736,0.166,0.241,0.093,4.508,5.160,3.639
220553,0.569,9.381,9.462,9.283,-0.452,-0.177,-0.733,0.001,0.023,0.000,0.014,0.192,0.001,-9.840,-9.506,-10.140,-0.899,-0.525,-1.341,0.517,0.702,0.333,4.024,4.593,3.396
220567,0.421,9.224,9.274,9.175,-0.322,-0.206,-0.422,0.001,0.005,0.000,0.010,0.077,0.001,-9.549,-9.416,-9.662,-0.496,-0.318,-0.690,0.135,0.210,0.072,3.943,4.395,3.407
220641,0.230,11.304,11.313,11.295,-0.066,0.083,-0.197,0.000,0.001,0.000,0.002,0.010,0.001,-11.370,-11.221,-11.502,-0.201,-0.158,-0.239,0.217,0.242,0.195,9.963,10.058,9.810
220671,0.591,10.105,10.149,10.067,-0.966,-0.717,-1.304,0.001,0.012,0.000,0.012,0.168,0.001,-11.076,-10.818,-11.415,-0.210,0.028,-0.496,0.380,0.527,0.225,4.682,5.304,4.256
220809,0.656,9.752,9.821,9.687,0.087,0.206,-0.026,0.001,0.011,0.000,0.012,0.151,0.001,-9.679,-9.523,-9.807,-1.138,-0.952,-1.383,0.096,0.165,0.047,3.631,4.165,3.173
220815,0.557,9.653,9.700,9.579,0.080,0.239,-0.074,0.003,0.025,0.000,0.027,0.187,0.003,-9.573,-9.359,-9.752,-0.302,-0.008,-0.606,0.518,0.704,0.334,3.640,4.065,3.074
220831,0.358,8.972,9.093,8.806,-0.817,-0.536,-1.122,0.003,0.036,0.000,0.031,0.282,0.002,-9.810,-9.356,-10.209,-0.664,-0.291,-1.105,0.491,0.608,0.359,4.362,5.253,3.047
220856,0.171,8.904,8.927,8.877,-3.489,-2.774,-5.037,0.000,0.001,0.000,0.002,0.009,0.000,-12.386,-11.673,-13.947,-1.944,-1.896,-1.968,0.523,0.563,0.494,7.261,7.780,6.690
220929,0.660,9.727,9.798,9.648,0.120,0.263,-0.033,0.007,0.083,0.001,0.054,0.387,0.007,-9.625,-9.431,-9.800,-1.038,-0.815,-1.334,0.573,0.727,0.388,2.669,3.476,1.682
220934,0.472,8.966,9.050,8.879,-0.863,-0.612,-1.149,0.015,0.091,0.000,0.167,0.615,0.003,-9.835,-9.543,-10.134,-1.193,-0.835,-1.594,0.302,0.475,0.134,4.321,5.023,3.624
220942,0.706,9.359,9.431,9.276,-0.097,0.020,-0.203,0.001,0.010,0.000,0.020,0.165,0.002,-9.464,-9.280,-9.606,-0.663,-0.476,-0.870,0.069,0.139,0.024,3.584,4.089,3.083
220963,0.364,9.201,9.311,9.166,-3.158,-2.402,-4.890,0.000,0.001,0.000,0.004,0.026,0.001,-12.384,-11.604,-14.127,-1.939,-1.888,-1.967,0.294,0.348,0.212,6.402,8.996,5.758
220984,0.230,8.649,8.693,8.602,-1.682,-1.486,-1.877,0.001,0.006,0.000,0.019,0.146,0.002,-10.328,-10.126,-10.532,-1.705,-1.522,-1.853,0.057,0.111,0.020,5.713,6.309,5.129
220997,0.670,9.959,10.040,9.898,0.438,0.604,0.290,0.001,0.008,0.000,0.012,0.079,0.001,-9.538,-9.338,-9.695,-0.759,-0.377,-1.021,0.455,0.583,0.276,3.380,3.887,2.912
221011,0.471,10.957,11.024,10.915,-2.123,-1.375,-3.774,0.001,0.006,0.000,0.022,0.100,0.003,-13.097,-12.325,-14.732,-0.212,-0.125,-0.314,0.181,0.244,0.122,6.745,8.168,5.766
221020,0.584,9.924,10.024,9.760,-0.113,0.402,-0.565,0.002,0.050,0.000,0.011,0.267,0.000,-10.054,-9.373,-10.575,-0.815,-0.454,-1.107,1.331,1.483,1.137,3.876,4.508,3.051
221063,0.676,9.381,9.529,9.272,0.178,0.361,-0.059,0.004,0.043,0.000,0.057,0.426,0.003,-9.234,-9.002,-9.466,-0.983,-0.560,-1.501,0.326,0.588,0.136,3.012,3.625,2.270
221071,0.221,8.709,8.778,8.650,-1.095,-0.885,-1.264,0.004,0.026,0.000,0.062,0.393,0.003,-9.797,-9.622,-9.964,-1.170,-0.944,-1.462,0.117,0.212,0.043,5.594,6.241,5.008
221073,0.482,8.876,8.971,8.822,-0.163,-0.077,-0.321,0.000,0.001,0.000,0.001,0.006,0.001,-9.033,-8.919,-9.266,0.024,0.110,-0.071,0.292,0.324,0.259,1.937,2.387,1.421
221163,0.694,9.702,9.742,9.647,1.125,1.178,0.832,0.000,0.000,0.000,0.000,0.001,0.000,-8.573,-8.500,-8.689,-1.158,-0.179,-1.244,0.980,1.021,0.648,2.585,2.775,2.313
221193,0.685,10.553,10.596,10.527,-1.498,-0.991,-2.572,0.000,0.005,0.000,0.004,0.068,0.000,-12.070,-11.542,-13.150,-0.091,0.059,-0.260,0.336,0.445,0.234,4.940,5.686,4.543
221195,0.652,9.666,9.680,9.652,-2.357,-1.478,-4.300,0.000,0.001,0.000,0.001,0.004,0.000,-12.024,-11.142,-13.966,-1.965,-1.944,-1.975,1.565,1.595,1.534,0.559,0.640,0.542
221213,0.755,10.582,10.607,10.550,-1.862,-1.225,-3.425,0.001,0.015,0.000,0.016,0.207,0.001,-12.449,-11.800,-14.005,0.007,0.126,-0.202,0.208,0.334,0.103,4.486,4.843,4.147
221236,0.119,8.206,8.236,8.176,-3.944,-3.250,-5.416,0.000,0.002,0.000,0.003,0.019,0.000,-12.151,-11.451,-13.612,-1.916,-1.823,-1.960,0.732,0.784,0.686,7.533,8.169,6.962
221239,0.353,9.783,9.802,9.764,-2.433,-1.699,-3.860,0.000,0.003,0.000,0.006,0.053,0.001,-12.220,-11.481,-13.644,-0.644,-0.535,-0.755,0.189,0.252,0.132,6.305,6.745,5.933
221304,0.218,8.742,8.807,8.673,-1.501,-1.279,-1.734,0.008,0.031,0.000,0.117,0.415,0.005,-10.251,-10.012,-10.482,-1.110,-0.901,-1.386,0.159,0.269,0.071,5.402,6.052,4.643
221310,0.690,10.765,10.819,10.722,-1.854,-1.201,-3.554,0.001,0.008,0.000,0.015,0.141,0.001,-12.628,-11.963,-14.318,-0.209,-0.076,-0.335,0.165,0.238,0.101,5.194,6.387,4.520
221319,0.658,9.788,9.856,9.720,-1.322,-0.802,-2.035,0.001,0.022,0.000,0.017,0.268,0.001,-11.129,-10.558,-11.849,-0.440,-0.129,-0.872,0.318,0.510,0.156,4.074,4.647,3.429
221331,0.505,9.449,9.535,9.377,-0.220,-0.053,-0.374,0.000,0.007,0.000,0.006,0.083,0.001,-9.680,-9.494,-9.840,-0.864,-0.548,-1.223,0.231,0.370,0.115,3.686,4.192,3.074
221366,0.340,9.910,9.974,9.878,-3.348,-2.431,-5.469,0.000,0.001,0.000,0.003,0.018,0.001,-13.273,-12.349,-15.401,-1.950,-1.912,-1.971,0.203,0.226,0.163,7.176,8.660,6.412
221370,0.481,9.461,9.502,9.412,-0.628,-0.461,-0.764,0.000,0.004,0.000,0.008,0.104,0.001,-10.080,-9.918,-10.230,-1.547,-1.365,-1.736,0.088,0.153,0.035,4.506,4.914,4.021
221385,0.667,9.464,9.578,9.328,0.323,0.389,0.257,0.000,0.002,0.000,0.001,0.009,0.000,-9.154,-8.972,-9.301,-1.236,-0.953,-1.581,0.352,0.422,0.270,3.204,3.542,2.564
221404,0.666,9.742,9.828,9.651,0.507,0.728,0.353,0.001,0.007,0.000,0.005,0.056,0.001,-9.233,-8.979,-9.423,-0.980,-0.699,-1.248,0.624,0.760,0.475,3.119,3.555,2.599
221513,0.546,9.752,9.812,9.692,-0.110,0.044,-0.258,0.000,0.002,0.000,0.002,0.023,0.000,-9.863,-9.700,-10.022,-0.913,-0.716,-1.197,0.229,0.359,0.120,3.667,4.077,3.157
221560,0.353,9.470,9.528,9.424,-0.351,-0.253,-0.463,0.000,0.002,0.000,0.002,0.023,0.000,-9.835,-9.723,-9.937,-0.409,-0.107,-0.587,0.351,0.432,0.211,5.720,6.558,5.028
221609,0.493,9.642,9.694,9.586,-0.660,-0.452,-0.866,0.001,0.005,0.000,0.008,0.068,0.001,-10.308,-10.063,-10.533,-0.958,-0.724,-1.238,0.285,0.398,0.173,4.678,5.127,4.236
221626,0.336,8.953,9.006,8.895,-0.750,-0.611,-0.870,0.001,0.006,0.000,0.018,0.174,0.002,-9.704,-9.547,-9.841,-0.728,-0.574,-0.903,0.033,0.089,0.009,4.722,5.344,4.106
221627,0.340,10.070,10.183,10.037,-1.657,-1.089,-2.770,0.001,0.010,0.000,0.024,0.177,0.002,-11.763,-11.140,-12.924,-0.714,-0.579,-0.874,0.211,0.285,0.134,6.694,9.080,5.999
221630,0.330,10.314,10.337,10.290,-1.790,-1.263,-2.927,0.000,0.001,0.000,0.003,0.024,0.001,-12.103,-11.570,-13.251,-0.334,-0.218,-0.466,0.231,0.313,0.159,6.479,6.934,6.055
221657,0.302,8.745,8.799,8.691,-2.578,-1.954,-3.702,0.000,0.004,0.000,0.005,0.060,0.001,-11.324,-10.666,-12.487,-1.695,-1.412,-1.877,0.400,0.502,0.293,6.461,7.538,5.673
221674,0.759,9.400,9.498,9.267,0.122,0.334,-0.070,0.001,0.012,0.000,0.005,0.117,0.000,-9.282,-8.984,-9.526,-1.115,-0.844,-1.364,0.238,0.380,0.149,2.553,3.102,1.605
221685,0.505,9.107,9.223,8.960,-0.119,0.061,-0.315,0.001,0.013,0.000,0.016,0.128,0.001,-9.234,-8.935,-9.491,-0.995,-0.699,-1.488,0.239,0.363,0.146,2.073,2.948,0.919
221687,0.359,8.959,9.014,8.895,-1.146,-0.965,-1.327,0.001,0.010,0.000,0.011,0.145,0.001,-10.105,-9.913,-10.287,-1.297,-1.026,-1.597,0.173,0.269,0.085,4.898,5.436,4.343
221713,0.451,10.036,10.092,9.989,0.828,0.878,0.767,0.000,0.004,0.000,0.002,0.029,0.000,-9.211,-9.130,-9.305,-0.462,-0.265,-0.642,0.667,0.729,0.604,2.592,3.259,1.850
